tweets,self-identity
    小贝你好白  又是笑死的一天 该来的总会来！ 每天吃吃吃吃吃吃吃 姐姐挺你,0
   幂子唱歌太好听了！好甜！ 这个腿  好酷   真好看 这组谁拍的！拍的真不错！ 脱口秀反跨年 我要签名！！ 你唱歌很好听谁说不好听 幂子太好看了 啥哟疯了吗老爷爷看手机.jpg  大学生互填问卷 问卷互填，诚信互填哦女生样本已经收集完了，就不需要了烦死了...发了好多次都发不出来，这次能发出去吗  好的好的 幂子眼睛真的美得突出。。。 我觉得裙子漂亮高定总要占一样，当然我觉得不丑的高定一定大于漂亮的裙子，只要不是太丑的高定都大于漂亮裙子今天看到裙子，心里mmp，觉得非常一般，一看高定，我可以了  我没了   今晚上怎么贱逼这么多都来碰瓷你幂姐，建议让蒸煮多学学怎么做人怎么说话再来骂杨幂哦有些九漏鱼就算活到杨幂这么大年纪也说不出杨幂这种话哦 奇葩说看完了，这种语言类节目里面的杨幂就是永远滴神。 我没了，这不就是我的理想型吗   真牛逼，电影咖就是高级   不得不说，我现在就是非常希望杨幂别参加活动了，反正参加活动妆容也丑衣服也丑摄影也丑，还出圈一大波黑图，还累，累了状态又不好，粉丝看到这种服装造型摄影也也心梗，出来活动对双方来说都是折磨，何必呢，还不如在组里待着，多拍点戏。反正现在就是非常难受，我骂不了杨幂，骂孙婷扑克姜成浩就觉得他们脸皮那么厚了，根本没有什么能让他们有点羞耻心。我现在就是觉得，希望这一波撕逼能够把姜成浩钉在耻辱柱上下不来，希望杨幂能够看清他的真面目，就不奢望孙婷能够看清了，毕竟孙婷和他好的像同穿一条裤子似的，有什么不知道呢，孙婷心里大概门清儿。  看看呢 总有人闭着眼睛夸，夸夸夸夸你妈啊，什么衣服好看就行，不出错就行，现在要求已经这么低了？对于嘉行这种死皮不要脸的 你要求越低他就可以一次一次突破你的下线，你说还可以，他就会觉得 这也可以 那下次再差一点好像也不是不行毕竟嘉行给了扑克和姜成浩铁饭碗，一辈子都跟着杨幂，怎么都赖不掉姜鸡和扑克到底是有着多厚的脸皮才能赖着杨幂女士啊，业务能力从来不进步甚至每次活动都能突破下限这种人都不快点换了，嘉行你真行 说到这又想到之前看那个粉丝去接机那个视频了，孙婷你以为你是谁啊业务能力辣鸡，接不到戏，你到底凭什么当上经纪人的凭你那一身肥肉吗谁能想到杨幂的电影电视都是主动来找杨幂的而不是经纪人谈的呢，杨幂经纪人的存在就是个笑话，从来也不听粉丝的意见，让换造型和化妆也不换 拍的什么鬼 来了 薇娅直播间   把换姜鸡和扑克顶上去 越想越气，姜鸡这种人离开杨幂大概活不了了吧，毕竟业务能力这么差，谁想和他合作，同理扑克也是一个道理。。。最近活动的衣服真的丑丑丑，太丑了，姜根本不用心，借的衣服杨幂穿起来简直丑丑丑，一点也不懂得扬长避短，昨晚虽然出圈了，但是那个裙子真的不适合杨幂，穿起来真尼玛难看，我一张图片都没保存 今晚裙子太丑了。。。最近造型装发都没有让我眼前一亮的感觉，都感觉平平淡淡。。。我的姐快进组拍戏吧，看多了真的会审美疲劳，我现在已经不知道姐是好看还是不好看了 孙婷和盼盼拽啥啊 这世界上的男大学生在互联网的哪个角落啊，想填个问卷都是女大学生，累了  还有这等好事   这个指甲，是杨幂吧 我酸了 哈哈哈哈哈哈哈神经病啊！   绝了  绝了  今晚杨幂艳压全场，绝了 绝了 操，没看到杨幂的部分。。。 绝了！,0
 双向的爱 圣诞快乐 你也要快乐 用干饭实力祝小王生日快乐 吃饭了  日子渺小且重复 短头发照片考古了 我爱美女,3
 今天有看不完的live我好快乐 不能给鹅多几首吗 如果我明年灰溜溜卷铺盖滚蛋了，想滚回去看演唱会一定是原因之一 ...ㅠㅠ... 今天在听这首东京人寿 演唱会能开了？我只有眼红羡慕的份跟我又有什么关系呢 <Love the seashore>真的好好听啊安智煐究竟是怎么写出这些旋律的TT... 去年的今天启程回家✈️时间可过得太快了⏰ 大家的想法还真的蛮不一样的。可能是我太怕麻烦别人，或者麻烦自己对我来说是值得为'省去麻烦'而花钱的 完蛋啦完蛋啦我最近好焦虑☹️ 我活啦我活啦有live听我就又活啦<爱情句型>真是瞬间把我拉回读书偷听广播的日子真的好多年了 最近喜欢这首，没想到还有现场《falling flowers》Sweden Laundry & Yebit Vanilla Acoustic也离开Shofar Music自立门户了。沙发今年走了好几位音乐人，现在随机到去年的家族曲真是唏嘘어색한 사이 哇 这一张都15年了浮云,3
 懒人合集 福州·福建江夏学院 嗯！ ❄️ 福州·No SuGar素古咖啡馆(烟台山店) 生日快乐乐 福州·福建江夏学院 今天是我的生日12月19日，来祝福我吧~ 天太冷啦 福州 十二月要过半啦 福州·东街口,3
" 在凌晨写下昨天的感受，昨天下午参加校园演唱会，开始时自己并不能很好地跟上音乐摇动身体，随着演出的不断进行，舞台灯光从我眼前不断闪过，也有时不时从树叶间隙洒出的光线，被光线与音乐环绕仿佛感觉自己又回到大一，又有了大一时对一切事物所持有的新鲜感，想要不断尝试.整场演唱会有“告五人”、“麋先生”、“白目乐队”、孙盛希、魏嘉莹，最后的惊喜嘉宾是任贤齐，全场大家一起合唱，温馨而感动，每一首音乐都让我感到兴奋，让我感受到活力，每一刻的自己都是最好的自己，希望明年能顺利考出雅思并且大学生活不留遗憾.2020.12.29（台北-百花池） 台湾·台北 今天和Ze一起去了意大利餐厅以庆祝圣诞节，我们点了些食物，感觉自己并没有吃太多，但仍然感觉很饱，我们一起祝愿未来会很美好.结束聚餐后，一个人在屋内呆着，做了件不适的事，开始忧虑，然后拼命告诉自己没关系的，要相信自己，我希望在圣诞夜的这天晚上祈祷未来自己可以真正的认真去执行、完成计划内的事，不过分忧虑也不折返过往路.一切的一切都以今天带着些许烦躁的感受结束，明天开始做更好的自己.2020.12.25（台北）台湾台北 台湾·台北 Happy Christmas！在“Lapizza all you can Italy”庆祝圣诞！台湾 台湾·台北 今天上午上完课便立刻前往和Layla约的“OOOO Studio”，这家店在富锦街上，店内设计非常简约，是一家十分有气质的店.餐点、甜食都维持着一定的水准，我们点了“奶奶野餐盘”、“香草水果谷物盘”、“无花果的嫁妆”、“金萱焙茶欧蕾”等.“奶奶野餐盘”内有三种不同的自制月亮面包，其中的酸种面包配上浓汤，风味更加.“香草水果谷物盘”特别加的紫苏、葡萄柚脆片令我印象深刻.“无花果的嫁妆”底层的薰衣草酥饼与白葡萄酒果冻搭配雪酪显得十分独特.店内清爽舒适，我们边吃边聊了许久···2020.12.23（台北）台湾台北美食 台湾·台北 和Layla的午茶时间☕️！台湾 台湾·台北 回忆之二十一和Layla的一天，下午一起去了期待已久的昭和风格咖啡馆“孵珈琲”，感受复古怀旧气息，在暗暗灯光的环境下,聊了许久.晚饭过后和Layla参加“JOHNNIE WALKER”的活动，穿上白大褂，进入实验室般的空间，通过解密等游戏活动，品尝新的酒品，惊喜且有趣.2020.10.15（台北）台湾台北美食 台湾·台北 回忆之二十要离开纽约回洛杉矶了，经历了重回服务台换机票位置的事，带着不舍的心情登上了飞机，留恋之情涌入心头，又是一段漫长的机上时光，凌晨2:00抵达洛杉矶机场，思念纽约～2019.8.31凌晨-2019.9.1（美国-洛杉矶）美国洛杉矶 美国·洛杉矶 回忆之十九早起前往“Jacobs Theatre”买票，买到了价格十分优惠的票，晚上前往剧院看“Betrayal”，开场音乐极具迷离感，三位主演一起出现在舞台上，两位表演者之间互动时，另一位表演者会通过肢体动作、表情表现出其内心状态，通过时间轴的交替和舞台中心位置的旋转使剧情的推动更加清晰.表演结束后，立刻前往剧院门口等待见到主演们，等待了一会儿，主演们出来了，我也顺利要到了签名，一天下来也累了，我便乘坐地铁紫7回去休息了.2019.8.30-2019.8.31（美国-纽约）美国纽约 美国·纽约 希望我们都能顺利毕业！然后我们再一起去探店，品尝美食～～～毕业季毕业照 台湾·台北 回忆之十八早起前往时代广场的哈德逊剧院，到剧院抢优惠票，中午简单吃了碗牛肉面，傍晚在剧场看了“Sea Wall/A Life”，这部剧没有过多的道具，凭借演员的肢体与情感表达来进行对角色的演出，剧结束后，在朋友的带领下穿过一旁的酒店大堂，来到剧院后面等待前面，也如愿以偿得到了主演们的签名，开心.2019.8.29（美国-纽约）美国纽约 美国·纽约 回忆之十七和Giuseppe、Manu一起在公园旁的露天座位吃了华夫饼早餐，阳光晒在我们脸上，温暖惬意，我们一起前往教堂，下午我们一起去了布鲁克林的手绘墙区域，每一条路都有各式的图案、画作，午餐我们在“Sea Wolf BK”享用.帝国酒店的rooftop是很值得小酌一杯的地方，自然历史博物馆是一个可以参观很久的地方，是自然迷的乐土.2019.8.25-2019.8.28（美国-纽约）美国纽约 美国·纽约 回忆之十四早上起床后前往哥大校园，下午赶到帝国大厦进行课程报道，晚上和朋友一起闲逛时代广场和洛克菲勒中心，时代广场依旧人山人海，巨幅荧幕相衬下更显热闹.晚饭去了“Smith's Kitchen Bar&Restaurant”，我点了Meat Loaf配上酱汁，可口至极.在小意大利区域可以找到很多漂亮的壁画，有我最喜欢的提拉米苏，给Rociog拍了很多照片，中国城也有我最爱的鲜美的汤包.2019.8.19-2019.8.20（美国-纽约）美国纽约 美国·纽约 回忆之十三离开圣路易斯的那天，Lance送我去了机场，办理完手续后便在候机室等待，飞机延误了1h，下午5:30左右到达“LaGuardia Airport”，买了Metro Card 前往住所.纽约有许多跳骚市场，我尤爱位于上西区的“Grand Bazaar NYC”和布鲁克林的“Brooklyn Flea”这两个市场，有饰品、服装、家具等，总能挑到喜爱的.2019.8.17-2019.8.18（美国-纽约）美国纽约 美国·纽约 回忆之十二周末上午和Rob和Hank去了教堂，下午前往“Francis Park”的音乐节品美食、听音乐并且在音乐结束时可以赏烟火，我们坐在草坪上看烟火，烟火如同星星一般.Rob的姐姐和姐夫人很好，她们家有一只狗和一只猫，十分可爱，狗睡在地上，猫睡在我坐的椅子的一旁，让我感到很温馨～给自己留了一个小酌日，和Rob一起安静的bar点了一杯淡酒精的饮品，在品酒的过程中，Rob说给我个惊喜，让我跟她的好友出去一趟，我在半信半疑的状态下跟了出去，惊喜原来是乘坐高尔夫车兜风，行驶过程中，风带给我爽快的感觉.心里想着马上就要离开圣路易斯前往纽约了，一定会对这里的人、事无比怀念～2019.8.10-2019.8.16（美国-圣路易斯）美国圣路易斯 美国·圣路易斯",0
  心理学312统考真的，不愧是北师大中科院清华参加的312，不愧是你 保佑 啊啊啊啊啊啊！冲！ 转发 好看！,2
 牛逼就可以概括了 有很多快乐的不快乐的事情发生，但是2020马上要过去，那就把不好的都留在2020。2021年，一定平安顺遂。 朋友们，一年了，我仍然认为在live这块，周深是永远的神 1⃣️2020最后一节课之后在教学楼门口的合影2⃣️另一种意义上的合影3⃣️在长沙读书的好处——茶颜悦色4⃣️半糖的带坚果的幽兰拿铁5⃣️认识的第三年三个人终于…一起吃了一顿海底捞6⃣️冬天里很刺眼但是不是很温暖的阳光 今夜不停留下时代的眼泪 在某条微博下看到的哈哈哈哈哈哈周深肚脐歌手身份被揭穿 有一说一，B站的跨年晚会是我即使不知道表演的人是谁，只要看到节目单就会想看的晚会。但是，看一秒卡三秒我真的不怎么行。 你知道吗，有一瞬间我好像真的听到了雪落下的声音 刚刚听完，爷青回回回回回 果不其然 来了来了，一线女明星的行程 2020最后一天见 新年快乐，明年见 大气 谨记生而为龙的模样 速食面哈哈哈哈哈哈有声音了 哈哈哈哈哈哈 你最好真的是小甜文我今天被吓得睡不着 你看，万家灯火，只要足够努力 更新了特关，有些人还在，有些人进来了 有些人非要对号入座那也没办法 我在微博之夜活动中，为 投出了宝贵的5票！年度热点人物花落谁家，由你来定！快来年度热点人物投票，Ta的荣耀由你成就！还能赢取盛典门票、现金红包及实物大奖哦！2021料你好运！ 祝2021平安顺遂 过去一年辛苦了，来年继续加油昂（像是长辈鼓励晚辈（好的粥身看到了吗妈粉在这里（没有开玩笑的我是一个高贵的歌迷 行刑的时候民众能知道吗 我庆祝一下 真男人就应该骂男人 一路同行，去远方 好可爱 在紫老头那里看到判官要完结了，那我就冲了木苏里这个女人真会写，我把她专栏每一篇都看完了厉害牛逼大发了惊悚游戏这么久了还没有完结还是感情线少得可怜的那种在等木苏里拯救我了今天凌晨刚看完小蘑菇最近没什么课看完小蘑菇有点空虚迫不及待需要判官来补充我的精气神普瑞斯特和狗什么时候开新文？？？ 为什么播这么多次呢因为这几首不是中午睡觉听的就是晚上睡觉听的  小蘑菇小蘑菇小蘑菇小蘑菇 “他背叛了一生的信念来爱他”保存一下很久没有这么心动了  时光飞逝 肖像权侵犯到你们哈哈哈哈哈哈哈哈哈哈哈 哈哈哈哈哈哈哈哈哈好有趣大兄弟 Once had a dream  永远不会停下来 官摄、巡演 在远方看你的返场 你笑起来真好看，不是怀特，是郑云龙 好久不见了舞台上的大兄弟 R E P O 新年快乐大兄弟 来了来了 你也辛苦了龙哥 开始激动了 哈哈哈哈哈哈 各自在北京上海过年，只有我不止没吃到鸡米花还要迎风去上课 荔枝：在我这里 “祝了就能有吗”这是人说出来的话吗 你的观众如约而至。遥祝小说首演顺利 首演顺利 好吧好吧下次一定 是我，最初喜欢上他就是因为他唱歌的时候咬字很清楚。19年他在唱给世界听这个节目里也跟一个新人歌手说发音尽量不要发这种sh、ju之类的音。太舒服了，终于有人说出这个发音问题了。 可惜我是个穷人，十分心疼1200一年的住宿费，不然一定搬出去住 MAD好帅 哈哈哈哈哈哈哈哈哈 快乐喷泉哈哈哈哈哈 广剧，要不我们直接线下买票，我马上找人去排队 螺蛳粉真的好臭又好吃 最近的口头禅：女孩子真可爱 阿飘故事：晓明瘦下来以后我好心动怪我眼拙没看评论之前还以为是哪个男团的队长我还反思了一下内娱有这么好看的帅哥我竟然今天才发现 芜湖 拯救周一 同是天涯pre人 有些事情注定是不能拿出来讨论的或者说不能表明不同的立场睡不着了 深深，不油腻也不容易 你是我的谁？你是我的星星，你是我最喜欢的歌手。 周深一开口，我耳朵就舒服了。 周深到了年底还在持续贡献优质live不怪人家妒忌你就是唱歌最好听的 台上这么多人唱歌，只有你唱得最好。 你是最棒的。 修音修得分不出哪个是哪个的声音 听了几首歌又摘下了耳机来点能听的声音吧 大草！仙女下凡！ 第一次听这首歌在1月，长沙没有下雪，可是当时我真的以为自己听到了雪落下的声音❄️ 把自己当活人，也把别人当活人  解解馋 这个卡司真要命 袜！周深今天出现了两次 火速转发 今天好像没带脑子出门希望有一个好结果信女愿今年不再喝一杯奶茶 哈哈哈哈哈哈哈 爷青回 去不了现场，在评论学习一下怎么保暖 拳头硬了 危险游戏，你奇奇怪怪的宣传成功引起了我的注意 这是在干什么？？？ 海报好熟悉的ID哦 已经不知道多少厨狂喜了这歌的丝带儿跟以前不太一样周深《和光同尘 》和光同尘 刚好没课  卡布叻_周深，在看吗？少量更新还想我给你一键三连？？？ 草 年轻人！ 来了来了，勤深深富士山下和附赠的周深教你说话教程一并来了 好可爱啊 当代文豪  ？？？脸呢？？遮着干嘛？有本事露出来！散娘本体？？？大草！ 铭记历史，珍爱和平。 今晚十一点，不见不散❄️ 竟然有点心动 周深永远滴神 嗑晕了 虽然但是 周深这一套好想模仿 我们身高差不多我应该也可以穿 人生不一定有那么多的重逢，有些人可能走散了就再也没有机会相遇。 明年用   那就在远方见啦 好巧，我也觉得好听。 提前做好准备 神前晓朋友们 周深好牛 该怎么向一家辣卤店解释我只想吃卤不想吃辣 全 员 恶 人 我最近也一直在听这首歌，一首很有味道的老歌  来啦 要素过多需要多看几遍嘿嘿  可爱死了 哈哈哈哈哈加油！ 准备开始给我爸妈找各类家暴案例和难产案例了✍  我逐渐认识到，周深是一个很懂得学习进步、对自己要求很高的人。所以我越来越喜欢夸他，甚至想把所有赞美之词都用在他身上。不需要担心他会因为别人的夸奖迷失。因为他很清醒，很懂得鞭策自己。我只需要夸奖他就好。周深是我心中最可爱、最有趣、唱歌最好听、最懂得提升自己的人。 享受每一个舞台，永远会有人在下面为你呐喊，做你自己、开开心心地唱歌就好 哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈 一起来建设社会主义鸭,3
" 2020经历了太多太多 2021继续加油 ✨☁️⤴︎ 生活温暖顺心 其他别无他求 ⤵︎再见2020再见2020你好2021 快进2020 摩尔庄园等了一天终于等来了广告投放！我的青春回来了 记录下第1⃣次面试今日天气：小雨☔️：公司地方很偏，大门口到面试的地方给我走了10多分钟，填了两次来访登记表，测了两次体温（awsl）遇到了一个热心的小哥哥（给我指路，热心介绍公司的环境，发展…）过程：英语笔试—专业笔试—主管面试英语笔试：只要有中文出现的都是繁体字（emm）专业笔试拿到题目我直接裂开了，怀疑人生，质疑自己大学到底学了些啥？你考函电催发盘我会 基础外贸知识我会可偏偏出的题目都是见都没见过的，我连怎么回答都不知道，本着对HR的尊重以及不枉费此行以及不交白卷的目的，我做出了以下回答：‼️不好意思，这些题目超出了我的涉猎范围，我现有的知识储备不足以支持我回答这个问题，本着对公司的负责、尊重以及对我本人的负责 ，我不能胡编乱造，所以我选择不回答，谢谢你们给我这次机会。 因为之前HR就说了笔试成绩关乎面试，我已经心如死水，肯定接下来HR会说""对不起你不能参加后面的最终面试了""… 试卷一交HR看了一眼就直接笑了，还是当着我的面然后我继续回我的座位等待后续的通知。可能是我的真诚打动他们？hhhhh面试官很和善，很温柔，耐心到给我介绍了公司的环境，同事相处，以及她刚入职的感受…温柔到把我的简历一条一条剖析提问，一个问题比一个问题刁钻，最后他还是按耐不住了:你的办公软件运用得如何？（我）：还可以，基础的都会：那这样的话，你给我看一下这个需要怎么弄（在纸上写了）现在Excel表格中的出现“1992/5/2”客户需要的报表是“1992-05-02”你需要如何操作：这需要用到表格中的公式（具体啥公式我也忘了）解释不了：那没事，你给我操作一下吧（说着就给我领到了办公电脑前让我演示）：（计算机二级虽然过了，但是平常这么熟练操作的机会很少啊，这…我一顿操作猛如虎只能弄到“1992-5-2”）这个可以吗？：我需要的是“1992-05-02”，：好吧我不记得公式了：以后如果客户需要，你要怎么做呢，难道那么多数据你也要一个个敲上去？（然后他给我操作了一遍）：（我要淡定 不能生气微笑道）当然不可能啊，这个一看都是可以运用公式，我会先百度查找一下相关的公式，记住。你们平常经常接触可能比我们熟练，有了肌肉记忆，作为小白的我后续也可以有这样熟悉的操作的：那你给我做个表格吧—公司各部门周一到周五的采购记录：好的，（说着就在Excel里面一顿操作猛如虎）这样可以吗：我需要的是表格：(尴尬一笑)这就是表格啊面试官也很无语吧 ahhhhhh反正我是尽力了最后的面试环节了以“你还有什么问题可以问我的？”结束了总体来说，一次很不错的体验respect‼️",0
 拜托，狗勾能有什么坏心眼呢 我宣布张杰是今晚最佳（虽然还没结束） 谢谢谢谢 zy忘词也太明显了吧 呜呜呜呜 救命江苏卫视一嗓子把我唱走了  嗯？ 给大家介绍一下，这是我的老公和我的老婆，我们一家三口很幸福  干 救命啊哈斯哈斯 我来了我来了！ 这是圣诞节该看的吗？ 真诚发问:做了美甲之后怎么上厕所 不懂就问，深圳的夏天来了吗 我的 总有一天要被我糟蹋掉 不愧是我老公 好可爱！ 希望下辈子没有小组作业 ！ 电视剧大赏我已为PP 投出一票，和我一起选出2020年人气海外剧星吧～人气海外剧星 给我一顶圣诞帽我也要我也要 救命突然发现之前互联网掐架一女的和我是校友 好家伙，你们飞云系真行 ！救命 救命啊 他妈的以后再也不买白色衣服了 救命韩剧tv里怎么没有偶一天啦 ！！！Tony！！！ 我们一般称之为大便交流 发财了发财了 草酸死我了酸我我了 好家伙… 哈斯哈斯 救命我不会又要搞选秀了吧 出道吧老公！ 救命啦 友友们！冲他妈的 已经在心动了 论混过饭圈的好处 任敏声音也太好听了，今天也在为徽柔流泪 泰兰德 语言创造出来难道不是为了让人看懂的吗 家人们，如果这也不算爱 有没有什么不用上班就可以捞钱的活啊 电视剧大赏我已为PP 投出一票，和我一起选出2020年人气海外剧星吧～人气海外剧星 哦豁 我也爱你比二金 我在佛前苦苦求了几千年 tony冲冲冲！！！ 电视剧大赏我已为PP 投出一票，和我一起选出2020年人气海外剧星吧～人气海外剧星 救命啊哈哈哈哈哈哈哈哈哈哈哈哈 如果我钻石分级过了那一定是拿我水杯换回来的 ？诺言？是我想的那个诺言吗 张元英是公主吧 装被子装了半小时结果装反了 掌中之物！你他娘的什么时候能播！ 救命傅慎行成精啦 都十二月了我怎么还没蹭到桃花 啊啊啊啊啊啊 gkd谢谢你,0
 好玩嘿嘿 这也太可爱了啊啊啊啊啊啊疯球了 好家伙，我转发我自己中奖的微博，结果这条微博也有抽奖，我就又中奖了，独角兽和卓大王也太爱我了 这个也来试试！！ 太可爱了我怒转！！ 只有15cm的哭了，如果抽中我我就去买个20cm的娃 睡衣坨好可爱 今天去的商场没什么圣诞氛围好可惜 不过今天好多大脸图 现在是啾啾毛小赖微博惯例多放两张live图希望你们每天都快快乐乐！！！ 哇哇哇哇 我真的服了，看这集全员恶玉感觉被喂了屎，上一次看番那么无语还是在迷家 我爱三角！！！！！！！ 正道的光（来自3dmax作业 ？？？我坚持记了两年的账了，你现在跟我说你要下线了？？ 李泽锋于朦胧我擦我真的有磕到啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊 真人必须死！！！！！！！！！！！！！！！ 绝绝 ✨分享12.1～12.15的快乐p1 其实喝的奶茶远远不止这两杯p2我的第一只亲生隐藏！屁可猪太可爱啦p3搞的广告比赛平面海报，指绘真的太难了，好想拥有ipadp4～6 我太爱下雪了！在合肥仅存一天的雪p7～9 我的快乐 小时候第一个男神是阿童木！！！！ 以后圣诞节一定要去一次，挤死都要去 下雪啦！！！！ 今天是双马尾！！！义工人的愿望，只想干好吃的饭 又是大脸肉嘟嘟live K宝我回了，这种喜欢自我高潮的粉丝真的无语 集合啦动物森友会 ❄️积雪啦 白茫茫的太美了 集合啦动物森友会 今天动森下雪啦️ 耶耶耶！我终于又中奖了！！！十二月果真是有奇迹的！！ 哇啊啊啊！！超级开心！！居然中了！！！ 买不起2077的我开始对巫师3蠢蠢欲动 兔兔！ 喝奶茶的时候一心一意，没有喝奶茶以外的存在。珍惜与各个奶茶店的感情，却很遗憾在处理方式上造成误解，越担心会胖可能越会胖，对此真心的感到自责和抱歉。这两天深刻反省，认识到自己不足够成熟面对奶茶。最近几年会专注喝奶茶，不再担心长胖。对所有关心我的朋友们说一句对不起。 看完新更的全员恶玉，心情复杂......之前喜欢杀人魔，可这期真的有吓到我，不知道还以为是恐怖片所以他没了我都不懂应该是什么心情 靠啊啊啊！！！！这是免费能看的？？？！！ 鲨人事件 太可爱了 我人没了 看得我又哭又笑又尖叫的 啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊 呜呜呜呜呜呜呜呜呜好可爱啊啊啊 piko屁可猪圣诞......我第一个抽到的隐藏可我为什呢一点都开心不起来啊啊啊，我只想要小猪啊啊啊，这不是逼我再买一个吗一只屁可猪屁可猪圣诞雪夜邀请函系列盲盒 皓月当空 叨给生日快乐呀唔哇哇哇！！！！,0
  ,3
 9月5日这一天我究竟经历了什么果然我的2020依然在磕cp “我们在这个节目里跨过了……”“跨过了……什么？”“万水千山。” yysy魏大勋唱春风十里真的太好听了 如果我有罪 法律会制裁我 而不是让我在日语课社死之后又得面对着电脑蓝屏无语凝噎,0
 2020最后 天坐了终于开通的地铁围了妈妈送的围脖 杭州  第五年老瓜要好好的走下去呀 杭州 我来了 好家伙，狗叠的氪金大佬真的 好家伙谢谢金主爸爸不就是当分母嘛我来了 恭喜刘老师成功恰饭 原来大家都一样吗？我以为只有我 今天被嘲笑打乒乓球的技术了，那我本来就没说我很厉害嘛，就是做不到嘛。 杭州·转塘 接下来要开心 奇怪的大头增加了 杭州 浪漫樱花❌ 止咳糖浆✓排雷 杭州·转塘 全家的奶茶冰面包 杭州·转塘 复婚吧西瓜jun 好家伙好家伙我直接好家伙 好可爱哦 想学 最近很喜欢看一些悲伤的事情，混剪也好，文字也好。强迫自己困在感怀的情绪中。就像揉皱一块布再把它拉扯服帖。灵感在深夜迸发，情绪也一样，我会溺于快乐，所以还是少点快乐吧。 杭州 恭喜北北粉丝破100万 民国好难写好难写好难写 杭州·转塘 我又在回想高中，一个个独行在人群中的夜。其实短短十五分钟的路程，低头想事情，很快就能走到头。但是终点对那时的我来说，却像天堑一样在云端。人就像小卖铺零食柜上的商品，连着锯齿，叠得拥挤。似乎只有我是落单的，就像那变质的或是蒙尘结灰的。看不到出去的希望，也找不到安置自己的角落。还好我现在已经习惯一个人走，抖落掉灰，发现自己也没有那么差。没手可牵没胳膊可挽好像也没什么。 杭州·转塘 隧道与湖 杭州·净慈禅寺  大家都是惨兮兮塌房人 塌房 塌房女孩之歌 杭州·转塘 杭州的下雪欺诈又来了想看鹅毛大雪呀不想看冰粒子往下飘 杭州·转塘  ,2
 1230 金泰亨生日快乐 ♀️ ❄️正在播放《Snow Flower》●━━━━━━─────── 3:35 ⇆ ◁ ❚❚ ▷ ↻ 小哼就是冬天最好的礼物 哈比Christmas窝准备好了 我的天啊绍兴 小珍是值得很多很多爱的人 生日快乐哦 嗨呀大宝贝子 ☁️哟是一年生日呀！祝你生日快乐身体健康♀️想买的都买到想吃的都吃到派一个柾顺来把你的烦恼都扫光抛光♀️Love uuuuuuuuuuu么么哒哒哟,0
